Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
362,542182;362,557369;0,015187;;0,013457;0,00173;-0,011727
362,557369;362,559099;0,001730;;0,001413;0,000317;-0,001096
362,559099;362,559416;0,000317;;-0,037291;0,037608;0,074899
362,559416;362,597024;0,037608;;0,024116;0,013492;-0,010624
362,597024;362,610516;0,013492;;0,013432;6E-05;-0,013372
362,610516;362,610576;0,000060;;-0,062482;0,062542;0,125024
362,610576;362,673118;0,062542;;-0,180892;0,243434;0,424326
362,673118;362,916552;0,243434;;0,242583;0,000851;-0,241732
362,916552;362,917403;0,000851;;0,000778;7,3E-05;-0,000705
362,917403;362,917476;0,000073;;-0,002754;0,002827;0,005581
362,917476;362,920303;0,002827;;0,002754;7,3E-05;-0,002681
362,920303;362,920376;0,000073;;-0,004499;0,004572;0,009071
362,920376;362,924948;0,004572;;0,004432;0,00014;-0,004292
362,924948;362,925088;0,000140;;-0,016005;0,016145;0,032150
362,925088;362,941233;0,016145;;0,016072;7,3E-05;-0,015999
362,941233;362,941306;0,000073;;-0,016975;0,017048;0,034023
362,941306;362,958354;0,017048;;0,016847;0,000201;-0,016646
362,958354;362,958555;0,000201;;-0,008786;0,008987;0,017773
362,958555;362,967542;0,008987;;0,008901;8,6E-05;-0,008815
362,967542;362,967628;0,000086;;-0,000595;0,000681;0,001276
362,967628;362,968309;0,000681;;0,000637;4,4E-05;-0,000593
362,968309;362,968353;0,000044;;-0,005245;0,005289;0,010534
362,968353;362,973642;0,005289;;0,005197;9,2E-05;-0,005105
362,973642;362,973734;0,000092;;-0,144626;0,144718;0,289344
362,973734;363,118452;0,144718;;0,144637;8,1E-05;-0,144556
363,118452;363,118533;0,000081;;-0,003629;0,00371;0,007339
363,118533;363,122243;0,003710;;0,003572;0,000138;-0,003434
363,122243;363,122381;0,000138;;-0,236663;0,236801;0,473464
363,122381;363,359182;0,236801;;0,236731;7E-05;-0,236661
363,359182;363,359252;0,000070;;-0,127978;0,128048;0,256026
363,359252;363,487300;0,128048;;0,121272;0,006776;-0,114496
363,487300;363,494076;0,006776;;0,006689;8,7E-05;-0,006602
363,494076;363,494163;0,000087;;-0,033118;0,033205;0,066323
363,494163;363,527368;0,033205;;0,032985;0,00022;-0,032765
363,527368;363,527588;0,000220;;-0,366057;0,366277;0,732334
363,527588;363,893865;0,366277;;0,343795;0,022482;-0,321313
363,893865;363,916347;0,022482;;0,022406;7,6E-05;-0,022330
363,916347;363,916423;0,000076;;-0,161605;0,161681;0,323286
363,916423;364,078104;0,161681;;0,047675;0,114006;0,066331
364,078104;364,192110;0,114006;;-0,132226;0,246232;0,378458
364,192110;364,438342;0,246232;;0,246111;0,000121;-0,245990
364,438342;364,438463;0,000121;;-0,000400;0,000521;0,000921
364,438463;364,438984;0,000521;;-0,285097;0,285618;0,570715
364,438984;364,724602;0,285618;;0,285507;0,000111;-0,285396
364,724602;364,724713;0,000111;;-0,000387;0,000498;0,000885
364,724713;364,725211;0,000498;;-0,125970;0,126468;0,252438
364,725211;364,851679;0,126468;;0,126378;9E-05;-0,126288
364,851679;364,851769;0,000090;;-0,000003;9,3E-05;0,000096
364,851769;364,851862;0,000093;;0,000080;1,3E-05;-0,000067
364,851862;364,851875;0,000013;;-0,008217;0,00823;0,016447
364,851875;364,860105;0,008230;;0,008159;7,1E-05;-0,008088
364,860105;364,860176;0,000071;;-0,000014;8,5E-05;0,000099
364,860176;364,860261;0,000085;;-0,009921;0,010006;0,019927
364,860261;364,870267;0,010006;;0,009418;0,000588;-0,008830
364,870267;364,870855;0,000588;;0,000586;2E-06;-0,000584
364,870855;364,870857;0,000002;;-0,135583;0,135585;0,271168
364,870857;365,006442;0,135585;;0,135513;7,2E-05;-0,135441
365,006442;365,006514;0,000072;;-0,109133;0,109205;0,218338
365,006514;365,115719;0,109205;;0,109130;7,5E-05;-0,109055
365,115719;365,115794;0,000075;;-0,019073;0,019148;0,038221
365,115794;365,134942;0,019148;;0,017046;0,002102;-0,014944
365,134942;365,137044;0,002102;;0,002017;8,5E-05;-0,001932
365,137044;365,137129;0,000085;;-0,000018;0,000103;0,000121
365,137129;365,137232;0,000103;;0,000094;9E-06;-0,000085
365,137232;365,137241;0,000009;;-0,299294;0,299303;0,598597
365,137241;365,436544;0,299303;;0,299301;2E-06;-0,299299
365,436544;365,436546;0,000002;;-0,000109;0,000111;0,000220
365,436546;365,436657;0,000111;;-0,000021;0,000132;0,000153
365,436657;365,436789;0,000132;;0,000109;2,3E-05;-0,000086
365,436789;365,436812;0,000023;;-0,000033;5,6E-05;0,000089
